,dataset_name,sequence_name,image_path,mask,gold_mask,cyto3,nuclei,cyto2_cp3,tissuenet_cp3,livecell_cp3,yeast_PhC_cp3,yeast_BF_cp3,bact_phase_cp3,bact_fluor_cp3,deepbacs_cp3,cyto2,cyto,CPx,transformer_cp3,neurips_cellpose_default,neurips_cellpose_transformer,neurips_grayscale_cyto2,CP,CPx.1,TN1,TN2,TN3,LC1,LC2,LC3,LC4,generic_confocal_3D_unet,generic_light_sheet_3D_unet,confocal_3D_unet_ovules_ds1x,confocal_3D_unet_ovules_ds2x,confocal_3D_unet_ovules_ds3x,confocal_2D_unet_ovules_ds2x,lightsheet_3D_unet_root_ds1x,lightsheet_3D_unet_root_ds2x,lightsheet_3D_unet_root_ds3x,lightsheet_2D_unet_root_ds1x,lightsheet_3D_unet_root_nuclei_ds1x,lightsheet_2D_unet_root_nuclei_ds1x,confocal_2D_unet_sa_meristem_cells,confocal_3D_unet_sa_meristem_cells,lightsheet_3D_unet_mouse_embryo_cells,confocal_3D_unet_mouse_embryo_nuclei,PlantSeg_3Dnuc_platinum
43,Fluo-C2DL-MSC,1,./datasets/Fluo-C2DL-MSC/01/t015.tif,./datasets/Fluo-C2DL-MSC/01_ERR_SEG/mask015.tif,,0.9289011248402016,0.9194872337530801,0.9198243336915511,0.9196970701351019,0.9196970701351019,0.8362972538217999,0.9184253619373366,0.9194961620263291,0.9190342329271327,0.9197774451550476,0.9360615340587215,0.9196211665734391,0.9196970701351019,,,,0.9196970701351019,0.9196970701351019,,0.9196970701351019,0.9196970701351019,0.9196457229512544,0.910527363552609,0.9196970701351019,0.9181154991180346,0.9196970701351019,,,,,,0.9196993026836677,,,,0.9196993026836677,,0.9196970701351019,0.9196993026836677,,,,
44,Fluo-C2DL-MSC,1,./datasets/Fluo-C2DL-MSC/01/t017.tif,./datasets/Fluo-C2DL-MSC/01_ERR_SEG/mask017.tif,,0.901440460763139,0.9009893692612609,0.9034005933828473,0.9009893692612609,0.9009893692612609,0.8202256359588426,0.8983855497618232,0.9004575315402027,0.9004334636218677,0.9009893692612609,0.9046194887131985,0.9018106908645138,0.9009893692612609,,,,0.9009893692612609,0.9009893692612609,,0.9009784230988926,0.9009893692612609,0.9009893692612609,0.9006632277081799,0.9009893692612609,0.9009893692612609,0.9009893692612609,,,,,,0.9009915585088618,,,,0.9009915585088618,,0.9009893692612609,0.9009915585088618,,,,
45,Fluo-C2DL-MSC,2,./datasets/Fluo-C2DL-MSC/02/t019.tif,./datasets/Fluo-C2DL-MSC/02_ERR_SEG/mask019.tif,./datasets/Fluo-C2DL-MSC/02_GT/SEG/man_seg019.tif,0.8745374333179852,0.8746385417613491,0.8771378848192675,0.8758058229138557,0.8758058229138557,0.8732913253476239,0.8748370456132429,0.8758058229138557,0.8758058229138557,0.8765447899085724,0.8796476662143147,0.874805207259476,0.8758058229138557,,,,0.8746516492100054,0.8758058229138557,,0.8758058229138557,0.8758058229138557,0.8758058229138557,0.8675165751051523,0.8758058229138557,0.874187382788393,0.8758058229138557,,,,,,0.8758076977279019,,,,0.8758076977279019,,0.8758076977279019,0.8758058229138557,,,,
46,Fluo-C2DL-MSC,2,./datasets/Fluo-C2DL-MSC/02/t008.tif,./datasets/Fluo-C2DL-MSC/02_ERR_SEG/mask008.tif,./datasets/Fluo-C2DL-MSC/02_GT/SEG/man_seg008.tif,0.8639795486642871,0.8623333941939018,0.8645147125589491,0.8620728657051381,0.8620728657051381,0.8411299483800843,0.8476660024730056,0.8614929435253907,0.8618770554009613,0.8623685064435688,0.861976802673913,0.861675746237566,0.8617422288530366,,,,0.895060805925902,0.8617847063433409,,0.8620728657051381,0.8620728657051381,0.8620728657051381,0.8569087930092846,0.8620728657051381,0.8614135555498251,0.8620728657051381,,,,,,0.8620728657051381,,,,0.8620747131682653,,0.8620710182456767,0.8620728657051381,,,,
47,Fluo-C2DL-MSC,2,./datasets/Fluo-C2DL-MSC/02/t028.tif,./datasets/Fluo-C2DL-MSC/02_ERR_SEG/mask028.tif,./datasets/Fluo-C2DL-MSC/02_GT/SEG/man_seg028.tif,0.9124753145170001,0.9094360815050849,0.9088767651617785,0.9096070491035998,0.9096070491035998,0.7988469666981363,0.8921395755388938,0.9088301702569109,0.9086981637119542,0.9093001064113337,0.9105284696023601,0.9083759891159119,0.9096070491035998,,,,0.9096070491035998,0.9096070491035998,,0.9091272517539496,0.9096070491035998,0.9096070491035998,0.9083274782684735,0.9096070491035998,0.9059147537787238,0.9096070491035998,,,,,,0.9096070491035998,,,,0.9096070491035998,,0.9096070491035998,0.9096089920931525,,,,
48,Fluo-C2DL-MSC,2,./datasets/Fluo-C2DL-MSC/02/t015.tif,./datasets/Fluo-C2DL-MSC/02_ERR_SEG/mask015.tif,./datasets/Fluo-C2DL-MSC/02_GT/SEG/man_seg015.tif,0.8808400444154043,0.8699019317736869,0.8739515935777618,0.8708451000465518,0.8708451000465518,0.8671598536754735,0.8696802575791387,0.8708823989720514,0.8815452571385033,0.8711752472068961,0.8696504566537561,0.8695591972291316,0.8708451000465518,,,,0.8838720556970868,0.8708451000465518,,0.8708451000465518,0.8708451000465518,0.8708451000465518,0.8649649325381131,0.8708451000465518,0.8692296200388426,0.8708451000465518,,,,,,0.8708451000465518,,,,0.8708451000465518,,0.8708469649575052,0.8708451000465518,,,,
49,Fluo-C2DL-MSC,2,./datasets/Fluo-C2DL-MSC/02/t017.tif,./datasets/Fluo-C2DL-MSC/02_ERR_SEG/mask017.tif,,0.8770402611534276,0.8776054927563925,0.8794010911100963,0.8787990421808805,0.8787990421808805,0.8738823651574499,0.8776167632920321,0.8787990421808805,0.8810794557618582,0.8792862957693028,0.8798415836823981,0.8772974838332158,0.8787990421808805,,,,0.8776486972111395,0.8787990421808805,,0.8787990421808805,0.8723737085529808,0.8787990421808805,0.8968976303940247,0.8787990421808805,0.8763815669105789,0.8787990421808805,,,,,,0.8788009229829769,,,,0.8788009229829769,,0.8788009229829769,0.8788009229829769,,,,
50,Fluo-N2DH-GOWT1,1,./datasets/Fluo-N2DH-GOWT1/01/t030.tif,./datasets/Fluo-N2DH-GOWT1/01_ERR_SEG/mask030.tif,,0.8943778002601532,0.8694010060338857,0.8749682610639249,0.8687013867664186,0.8687013867664186,0.870047786646312,0.8676762252341551,0.8686963913695117,0.8687013867664186,0.8687013867664186,0.9011750713002297,0.8740165923786579,0.9316323551219549,,,,0.893175583145188,0.9398065328910735,,0.8687013867664186,0.8687013867664186,0.8720660147790551,0.9405783744369307,0.8687013867664186,0.8716483234031008,0.8687013867664186,,,,,,0.8687013867664186,,,,0.8687013867664186,,0.8687013867664186,0.8687013867664186,,,,
51,Fluo-N2DH-GOWT1,1,./datasets/Fluo-N2DH-GOWT1/01/t071.tif,./datasets/Fluo-N2DH-GOWT1/01_ERR_SEG/mask071.tif,,0.929316867097458,0.8765486891955496,0.8735863131798182,0.8746146234371522,0.8746146234371522,0.8746146234371522,0.8746045693414867,0.8745995423340961,0.8749112677844393,0.8746146234371522,0.8740819049372268,0.8726945737763181,0.9244252148418681,,,,0.8598104319200862,0.8872025981575686,,0.8746146234371522,0.8746146234371522,0.8767854793689375,0.8743817312419002,0.8744001594510024,0.874324773613708,0.8746146234371522,,,,,,0.8746146234371522,,,,0.8746146234371522,,0.8746146234371522,0.8746146234371522,,,,
52,Fluo-N2DH-GOWT1,1,./datasets/Fluo-N2DH-GOWT1/01/t073.tif,./datasets/Fluo-N2DH-GOWT1/01_ERR_SEG/mask073.tif,,0.9098840492071414,0.8771214544712441,0.8909035826283909,0.8743582776816485,0.8743582776816485,0.8749799954045309,0.87485763021583,0.874483928604947,0.8746749502759962,0.8743582776816485,0.942654620672534,0.8739914733759694,0.8875151318779729,,,,0.9020734453694625,0.8827483799841634,,0.8743582776816485,0.8743582776816485,0.8773012505482898,0.889115089845819,0.8743482263354992,0.8844181505646106,0.8743582776816485,,,,,,0.8743582776816485,,,,0.8743582776816485,,0.8743582776816485,0.8743582776816485,,,,
